date,title,amount
2026-04-26,Atacadao 047 As,59.88
2026-04-26,Atacadao 047 As,54.49
2026-04-26,Atacadao 047 As,57.70
2026-04-26,Cinemark Brasil S.A Ec,105.60
2026-04-26,Plastiforte,39.64
2026-04-26,Lasa,171.55
2026-04-26,Pac Academia de Atleta,159.70
2026-04-25,Premmia*Br,255.61
2026-04-25,Casa dos Doces,99.84
2026-04-25,Andrefelipevila,90.00
2026-04-25,Atacadao 047 As,156.04
2026-04-24,Amazon,49.51
2026-04-24,A Boleria,28.00
2026-04-24,Caxanga Construcoes,6.80
2026-04-24,Cr Estacionamento,24.00
2026-04-24,Acto Academia - Cordei,114.90
2026-04-23,Loja Feirao do Mar,70.00
2026-04-23,Klingai.Com,50.36
2026-04-23,Machadus Paes e Pizza,78.94
2026-04-23,Atacadao 047 As,205.44
2026-04-23,IOF de compra internacional,1.76
2026-04-22,IOF de volta de Klingai.Com,-1.76
2026-04-21,Fc* Freepik Premium+ M,186.44
2026-04-21,Dl *Uberrides,17.93
2026-04-21,IOF de compra internacional,6.52
2026-04-20,Atacadao 047 As,49.25
2026-04-20,Atacadao 047 As,49.90
2026-04-20,IOF de volta de Fc* Freepik Premium+ M,-6.52
2026-04-19,Ifd*Pizzaria Matuta -,126.80
2026-04-19,Ifd*Ifood Club,12.90
2026-04-19,Suave Depil Beleza e,35.00
2026-04-19,Supermercado Alvorada,10.79
2026-04-18,la Ursa Refeicoes e Ev,63.00
2026-04-18,Zae Recife,3.00
2026-04-18,Brotfabrik,48.70
2026-04-17,Shopee*59594178 Guilhe,102.89
2026-04-16,Mundo da Agua Comercio,170.00
2026-04-16,Shopee*Webfones Comerc,46.90
2026-04-16,Shopee *Tgafashion,107.23
2026-04-16,Shopee *Barataomix,70.02
2026-04-15,Andre Luiz D*Multichat,297.00
2026-04-15,Adiqplu*Inovepark Esta,10.00
2026-04-15,Amazon Prime - Parcela 1/12,13.90
2026-04-14,Netflix.Com,59.90
2026-04-14,Rvl Viagens e Turismo,312.00
2026-04-14,Atacadao 047 As,1119.65
2026-04-14,Apple.Com/Bill.,99.90
2026-04-13,Airbnb * Hmpnazbzpq - Parcela 5/6,189.81
2026-04-13,Gilberto Luiz da Silva - Parcela 2/4,550.00
2026-04-13,Airbnb * Hmt5nrjpkh - Parcela 3/6,143.15
2026-04-13,Thomas Auto Pecas - Parcela 2/6,116.66
2026-04-13,Certificador*000810341 - Parcela 6/12,31.34
2026-04-13,Ebn*Canva04809 - Parcela 3/12,24.15
2026-04-13,Certisign - Parcela 6/12,24.33
2026-04-13,Real Tech - Parcela 2/6,83.33
